#Rows starting from # are ignored
#Tab-separated values
#Position	Probability
0	1.7478712517226329e-46
1	1.9420791685826436e-44
2	1.0778539385616792e-42
3	3.984067521059406e-41
4	1.1033653662482456e-39
5	2.4421153439647666e-38
6	4.499823643045306e-37
7	7.099721747912689e-36
8	9.791699577323986e-35
9	1.1991809852732509e-33
10	1.3204315071157943e-32
11	1.3204315071181649e-31
12	1.2091729264244812e-30
13	1.0210793600917727e-29
14	7.998454987389456e-29
15	5.841834531533002e-28
16	3.995977092748156e-27
17	2.569961738082972e-26
18	1.5594274003292006e-25
19	8.955308228800933e-25
20	4.880642984691213e-24
21	2.5307037698423907e-23
22	1.2512924195321384e-22
23	5.911903315465946e-22
24	2.6740414533427055e-21
25	1.1599397593160342e-20
26	4.833082330478938e-20
27	1.9372107777335265e-19
28	7.479786058463401e-19
29	2.7855754976351106e-18
30	1.0017754845190435e-17
31	3.482875340448292e-17
32	1.1718424322544873e-16
33	3.819338297721234e-16
34	1.2069608280702731e-15
35	3.7013465394165876e-15
36	1.1024072254739695e-14
37	3.1913530491205026e-14
38	8.98617832251516e-14
39	2.462878503208794e-13
40	6.574517337728918e-13
41	1.710443535019916e-12
42	4.339458598105502e-12
43	1.0742122317803737e-11
44	2.5960128934660616e-11
45	6.12787241025814e-11
46	1.4135551091286967e-10
47	3.1880179056953907e-10
48	7.03282653733327e-10
49	1.5181974747263066e-09
50	3.208457329919719e-09
51	6.640597959524531e-09
52	1.3465656973488083e-08
53	2.6761934614010382e-08
54	5.2147226500895835e-08
55	9.965914397953476e-08
56	1.8686089496146472e-07
57	3.438531868302889e-07
58	6.21175393066159e-07
59	1.1019721662306441e-06
60	1.9202885341174125e-06
61	3.2879257232595967e-06
62	5.5329072654882344e-06
63	9.153204612036145e-06
64	1.4889848474791727e-05
65	2.3823757559688837e-05
66	3.7500359121706185e-05
67	5.80851333659968e-05
68	8.855135527847609e-05
69	0.00013289833030515137
70	0.00019639419922883044
71	0.00028583193315005984
72	0.00040978065724732
73	0.000578807381926285
74	0.0008056373018706792
75	0.0011052150244910855
76	0.0014946255813664195
77	0.00199283410848894
78	0.0026202078093101946
79	0.0033977940930832577
80	0.004346344944072871
81	0.005485099243543693
82	0.006830360711137784
83	0.008393937259469249
84	0.01018153500917741
85	0.012191223618831525
86	0.014412105440870814
87	0.01682332614680554
88	0.019393556530333103
89	0.02208105312820834
90	0.024834369629364497
91	0.027593744032611396
92	0.030293132035779772
93	0.032862800344685396
94	0.035232340322269254
95	0.03733391851693639
96	0.03910555122435863
97	0.04049417904560299
98	0.04145832616569036
99	0.04197015735292252
100	0.042016790861120215
101	0.04160078303080896
102	0.04073976464566773
103	0.039465273626489085
104	0.03782088722541185
105	0.035859804184105525
106	0.03364205948087902
107	0.031231569237702636
108	0.02869320095605605
109	0.026090046129235506
110	0.023481041516309736
111	0.02091904599550712
112	0.018449436398826756
113	0.016109242401323866
114	0.013926801179312696
115	0.011921880043370742
116	0.010106191416066656
117	0.008484210077684275
118	0.0070541972679815665
119	0.005809338926573267
120	0.004738914439174762
121	0.003829425809433684
122	0.003065633229961029
123	0.002431459779498301
124	0.00191074393066218
125	0.0014878326073417864
126	0.0011480189871461485
127	0.0008778377906968873
